datetime,open,high,low,close,volume,signals,signal_type
2019-05-07 08:03:00,5879.06,5900.0,5875.89,5899.0,572.629605,1,tpsl
2019-05-08,5846.34,6014.72,5772.2,5987.29,23074.05152,1,market
2019-05-13 20:42:00,7690.53,7869.08,7653.01,7791.28,1460.910165,-1,tpsl
2019-05-17,7868.67,7925.0,6913.0,7355.26,88752.008159,-1,market
2019-05-19 06:57:00,7501.22,7543.01,7498.86,7539.33,256.708023,1,tpsl
2019-05-22,7904.48,8016.0,7465.0,7628.43,49136.994589,-1,market
2019-05-23 00:00:00,7873.42,7875.0,7857.52,7859.02,61.437243,1,tpsl
2019-05-24,7849.95,8130.0,7766.0,7964.87,46664.785325,1,market
2019-05-30,8646.5,9074.26,8005.0,8269.54,70379.998521,-2,market
2019-05-31 00:00:00,8623.92,8624.2,8616.0,8616.0,45.888628,1,tpsl
2019-06-01,8555.0,8626.0,8442.36,8544.07,31868.234157,1,market
2019-06-03,8726.0,8800.95,8080.8,8115.82,45692.965104,-2,market
2019-06-04 00:00:00,8507.84,8531.14,8507.84,8525.24,42.004902,1,tpsl
2019-06-07,7787.57,8100.0,7737.49,7980.53,33942.225658,1,market
2019-06-08 23:03:00,7797.15,7801.72,7767.24,7768.78,125.290043,-1,tpsl
2019-06-09,7895.28,7935.0,7506.66,7628.13,31568.465157,-1,market
2019-06-10 17:00:00,7788.88,7840.0,7787.01,7824.56,866.960586,1,tpsl
2019-06-19,9081.97,9304.0,8960.0,9255.49,32147.706495,-1,market
2019-06-20,9253.76,9590.0,9175.2,9517.12,34556.053982,2,market
2019-06-26 10:12:00,12354.99,12455.0,12350.0,12406.49,556.333122,-1,tpsl
2019-06-28,11329.99,12480.0,10982.88,12400.63,95795.203964,-1,market
2019-06-29,12407.06,12441.54,11475.02,11903.13,69642.074157,2,market
2019-06-30 16:06:00,11648.06,11655.9,11576.1,11581.57,180.958366,-1,tpsl
2019-07-03,10844.98,11991.89,10841.04,11940.0,96815.90029,1,market
2019-07-04 00:00:00,11083.56,11115.0,11074.61,11094.44,336.344004,-1,tpsl
2019-07-05,11145.67,11406.83,10796.44,10970.73,63534.350582,-1,market
2019-07-06 05:39:00,11225.84,11330.0,11225.64,11293.82,349.944748,1,tpsl
2019-07-11,12108.11,12111.73,11000.0,11342.89,87506.461058,-1,market
2019-07-12 00:00:00,11643.91,11655.39,11635.46,11641.82,67.531417,1,tpsl
2019-07-18,9668.86,10788.0,9252.0,10627.16,80283.310252,1,market
2019-07-19 13:54:00,10493.8,10523.0,10267.79,10353.14,1176.865419,-1,tpsl
2019-07-22,10590.15,10683.16,10100.0,10340.31,40467.954839,-1,market
2019-07-26,9882.15,9889.98,9637.0,9824.0,27167.463217,2,market
2019-07-27 16:03:00,9590.42,9594.76,9440.0,9536.8,1191.232102,-1,tpsl
2019-07-30,9509.07,9714.28,9402.0,9574.21,32536.368834,1,market
2019-08-09,11994.17,12045.68,11700.0,11879.99,39427.152588,-2,market
2019-08-17,10331.15,10465.14,10000.0,10216.02,29000.581201,2,market
2019-08-21 18:15:00,9964.66,9992.55,9946.3,9960.01,339.533122,-1,tpsl
2019-08-26,10142.69,10604.0,10137.93,10372.25,41687.511599,1,market
2019-08-27 16:12:00,10125.4,10132.34,10103.43,10111.47,77.605797,-1,tpsl
2019-08-28,10185.69,10299.0,9601.01,9721.0,42110.555375,-1,market
2019-09-01,9588.74,9830.0,9520.0,9724.98,19545.404843,2,market
2019-09-06,10563.13,10905.87,10150.0,10298.73,58799.640959,-2,market
2019-09-08 09:33:00,10547.01,10569.46,10545.0,10568.14,96.815207,1,tpsl
2019-09-09,10381.24,10480.0,10068.5,10303.12,39835.727608,-1,market
2019-09-12,10158.75,10448.81,10040.0,10415.01,34511.162755,2,market
2019-09-16 18:12:00,10161.88,10162.08,10138.0,10149.99,242.521344,-1,tpsl
2019-09-20,10243.7,10281.0,10061.39,10168.59,25088.491069,1,market
2019-09-21 18:12:00,9990.55,9996.39,9900.0,9910.0,590.358791,-1,tpsl
2019-09-28,8177.47,8315.0,8001.09,8198.81,34473.605165,1,market
2019-09-29 18:06:00,8020.32,8021.79,7908.08,7939.83,1043.987443,-1,tpsl
2019-10-02,8292.67,8373.91,8151.22,8359.94,26243.386644,-1,market
2019-10-03,8360.0,8393.0,8060.0,8223.96,30488.284058,2,market
2019-10-04,8224.43,8232.41,8005.0,8137.13,26476.330404,-2,market
2019-10-08,8190.82,8325.0,8088.75,8168.39,35452.657423,2,market
2019-10-11,8557.82,8779.51,8212.38,8258.5,50405.284418,-2,market
2019-10-15,8346.86,8403.0,8090.0,8159.29,32773.062476,2,market
2019-10-16 18:00:00,7995.19,7995.97,7923.5,7951.75,1037.838548,-1,tpsl
2019-10-20,7949.87,8297.0,7870.0,8223.35,34286.452654,1,market
2019-10-22,8197.28,8297.99,8000.0,8020.0,34651.828663,-2,market
2019-10-25 21:18:00,8090.0,8300.0,8065.75,8299.9,1828.964512,1,tpsl
2019-10-29,9204.45,9550.0,9072.0,9407.62,64158.462446,-1,market
2019-11-02,9231.4,9373.74,9186.21,9289.52,28923.060828,2,market
2019-11-07,9339.16,9375.0,9101.0,9216.2,39117.470853,-2,market
2019-11-10,8809.18,9147.19,8750.0,9039.47,34422.029797,2,market
2019-11-11 12:12:00,8819.7,8822.28,8761.0,8789.71,606.146891,-1,tpsl
2019-11-12,8733.36,8888.0,8567.6,8821.94,40366.629471,-1,market
2019-11-13,8821.91,8844.99,8702.0,8777.12,26810.116918,2,market
2019-11-14,8777.54,8800.0,8582.6,8646.68,33468.468961,-2,market
2019-11-26,7109.99,7340.0,7017.48,7156.14,65722.39769,2,market
2019-11-27 14:30:00,7031.17,7037.97,6915.11,6941.64,1785.714877,-1,tpsl
2019-12-01,7540.63,7541.85,7210.0,7390.89,60769.342313,-1,market
2019-12-04 18:57:00,7580.97,7619.15,7522.81,7593.99,1493.982466,1,tpsl
2019-12-05,7194.59,7485.0,7150.0,7389.0,59306.678855,1,market
2019-12-09,7510.11,7650.0,7273.0,7338.64,46621.887493,-2,market
2019-12-14,7257.37,7271.77,7012.0,7064.05,29561.985967,2,market
2019-12-15,7064.14,7200.3,7008.35,7118.59,26395.778137,-2,market
2019-12-18,6623.84,7440.0,6435.0,7277.83,95636.651251,2,market
2019-12-19 00:00:00,6844.5,6849.38,6838.03,6838.37,78.609032,-1,tpsl
2019-12-24,7317.3,7436.68,7157.04,7255.77,43629.494188,-1,market
2019-12-28,7254.77,7365.01,7238.67,7316.14,26848.982199,2,market
2019-12-31,7246.0,7320.0,7145.01,7195.23,25954.453533,-2,market
2020-01-03 21:45:00,7356.78,7405.0,7355.68,7389.93,1334.452606,1,tpsl
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,1,market
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,-2,market
2020-01-10 20:42:00,7984.4,8043.75,7984.23,8040.84,1115.141355,1,tpsl
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,1,market
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,-2,market
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,2,market
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,-2,market
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,2,market
2020-01-23 14:30:00,8511.0,8518.17,8450.0,8463.77,1347.648524,-1,tpsl
2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164,1,market
2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.067354,-2,market
2020-02-05 23:42:00,9609.41,9649.0,9609.41,9648.96,706.751871,1,tpsl
2020-02-11,9851.74,10323.59,9700.0,10223.08,62422.395224,-1,market
2020-02-12,10223.08,10450.0,10223.08,10326.46,61008.06393,2,market
2020-02-15 21:21:00,10180.0,10181.4,9900.0,9913.01,3546.761506,-1,tpsl
2020-02-18,9706.0,10250.0,9576.01,10164.71,70604.124019,1,market
2020-02-20 03:15:00,9921.71,9924.28,9528.8,9620.8,2535.037182,-1,tpsl
2020-02-22,9677.05,9709.17,9560.02,9650.86,24636.757623,1,market
2020-02-25 20:03:00,9455.0,9465.23,9365.0,9388.0,775.761527,-1,tpsl
2020-03-02,8530.3,8965.75,8498.0,8915.24,60401.31773,1,market
2020-03-03 21:57:00,8704.33,8705.9,8683.0,8690.35,233.234173,-1,tpsl
2020-03-07,9130.89,9188.0,8835.0,8886.66,45422.204525,-1,market
2020-03-12 16:15:00,6354.89,6434.33,5556.0,5600.0,2634.630315,1,tpsl
2020-03-16,5360.33,5365.42,4442.12,5028.97,227276.92276,1,market
2020-03-17 01:06:00,4933.08,4960.0,4828.0,4855.28,1498.348247,-1,tpsl
2020-03-22,6187.04,6407.87,5734.01,5816.19,119115.990527,-1,market
2020-03-23 00:09:00,5920.91,6000.0,5893.7,5984.1,822.722929,1,tpsl
2020-03-27,6737.27,6842.59,6261.0,6359.11,82914.968354,-1,market
2020-03-28 00:00:00,6637.06,6644.39,6635.66,6640.29,65.123636,1,tpsl
2020-03-31,6394.45,6523.23,6321.4,6410.44,72337.595259,1,market
2020-04-01 17:36:00,6296.17,6296.44,6210.93,6237.75,1471.676775,-1,tpsl
2020-04-04,6732.97,6990.41,6650.01,6856.99,72990.861139,-1,market
2020-04-05,6857.41,6895.54,6677.52,6772.78,49685.356983,2,market
2020-04-10,7283.54,7295.75,6739.98,6858.92,104674.623375,-2,market
2020-04-12 21:42:00,7024.08,7045.45,7023.43,7040.22,280.643485,1,tpsl
2020-04-13,6903.79,6903.79,6575.0,6837.91,96415.476573,-1,market
2020-04-14,6838.04,6978.0,6754.28,6868.7,69068.623285,2,market
2020-04-15 21:24:00,6715.71,6716.3,6690.0,6691.51,329.126403,-1,tpsl
2020-04-16,6621.25,7190.0,6468.27,7101.94,125009.857539,1,market
2020-04-20 23:15:00,6950.17,6950.77,6837.03,6850.35,2842.849404,-1,tpsl
2020-04-22,6841.36,7156.38,6818.0,7125.14,61486.377334,1,market
2020-04-30 09:24:00,9238.44,9289.92,9238.33,9287.17,1084.817462,-1,tpsl
2020-05-04,8894.15,8950.0,8522.0,8871.96,84418.512331,-1,market
2020-05-05,8871.92,9118.58,8760.0,9021.83,76480.765342,2,market
2020-05-09,9800.02,9914.25,9520.0,9539.4,81950.679567,-2,market
2020-05-13,8810.99,9398.0,8792.99,9309.37,92466.274018,2,market
2020-05-14 00:24:00,9080.39,9086.78,9075.62,9076.15,88.566194,-1,tpsl
2020-05-16,9315.96,9588.0,9220.0,9381.27,59587.627862,-1,market
2020-05-17 17:36:00,9550.0,9645.0,9547.7,9625.0,1328.462278,1,tpsl
2020-05-20,9775.13,9842.0,9326.0,9511.43,74923.73809,-1,market
2020-05-26,8900.35,9017.67,8700.0,8841.18,58299.770138,2,market
2020-06-03,9518.02,9690.0,9365.21,9666.24,46252.644939,-2,market
2020-06-04,9666.32,9881.63,9450.0,9789.06,57456.100969,2,market
2020-06-06 06:06:00,9568.34,9569.07,9531.05,9539.3,507.556155,-1,tpsl
2020-06-07,9666.85,9802.0,9372.46,9746.99,57952.848385,1,market
