date_time,executed_price,capital,signal,order_status,order_type,profit_loss%,stop_loss
2019-03-21 23:57:00,3980.64,3085.1496602238917,-2,SHORT,Market,0.014496299467857273,4378.704
2019-03-24 23:57:00,3992.18,3071.5779902677555,2,LONG,Market,-0.002899031311547883,3592.962
2019-03-25 23:57:00,3936.12,3023.8381337316796,-2,SHORT,Market,-0.014042452995606398,4329.732
2019-03-27 23:57:00,4038.05,2940.9968825493766,2,LONG,Market,-0.025896060079469197,3634.245
2019-04-03 21:00:00,5269.18,3833.243301816262,-1,Squared_Off,TP,0.30488230705414743,0.0
2019-04-11 23:57:00,5017.37,3833.243301816262,-1,SHORT,Market,0.0,5519.107
2019-04-14 23:57:00,5131.3,3740.4515385431173,2,LONG,Market,-0.02270711548081969,4618.17
2019-04-21 23:57:00,5256.14,3825.842745761977,-2,SHORT,Market,0.024329117377662607,5781.754000000001
2019-04-22 23:57:00,5357.14,3746.588033186489,2,LONG,Market,-0.01921562211052217,4821.426
2019-04-25 23:57:00,5219.9,3644.98750816779,-2,SHORT,Market,-0.025618146996345192,5741.889999999999
2019-04-29 23:57:00,5238.14,3626.783274831939,2,LONG,Market,-0.003494319814555967,4714.326
2019-04-30 23:57:00,5320.81,3678.582152967215,-2,SHORT,Market,0.015782319678359125,5852.8910000000005
2019-05-01 23:57:00,5383.2,3629.930482341574,2,LONG,Market,-0.011725658311422398,4844.88
2019-05-06 23:57:00,5747.79,3870.331246180574,-2,SHORT,Market,0.06772737405260815,6322.5689999999995
2019-05-08 23:57:00,5987.29,3703.256055488069,2,LONG,Market,-0.04166818899089911,5388.561
2019-05-13 15:12:00,7791.28,4813.504296281019,-1,Squared_Off,TP,0.30130326074066893,0.0
2019-05-17 23:57:00,7355.26,4813.504296281019,-1,SHORT,Market,0.0,8090.786
2019-05-19 22:33:00,8100.0,4318.903690316346,1,Squared_Off,SL,-0.10125270894570684,0.0
2019-05-22 23:57:00,7628.43,4318.903690316346,-1,SHORT,Market,0.0,8391.273000000001
2019-05-24 23:57:00,7964.87,4121.946827726336,2,LONG,Market,-0.04410343937087967,7168.383
2019-05-30 23:57:00,8269.54,4273.435475257151,-2,SHORT,Market,0.03825172287808853,9096.494
2019-06-01 23:57:00,8544.07,4125.156942300973,2,LONG,Market,-0.03319773530329363,7689.663
2019-06-03 23:57:00,8115.82,3912.2060997804415,-2,SHORT,Market,-0.0501224826107464,8927.402
2019-06-07 23:57:00,7980.53,3971.553919529551,2,LONG,Market,0.01666991135831006,7182.477
2019-06-09 23:57:00,7628.13,3790.2228225918357,-2,SHORT,Market,-0.044157468238324976,8390.943
2019-06-10 23:57:00,7982.75,3608.3358744175043,2,LONG,Market,-0.04648845785271094,7184.475
2019-06-19 23:57:00,9255.49,4178.223035609309,-2,SHORT,Market,0.15943628448842814,10181.039
2019-06-20 23:57:00,9517.12,4053.84758438066,2,LONG,Market,-0.028267547153095193,8565.408000000001
